,author-id,lang,type,name
55,aa99683b43eacda232d2967d42300e86,en,0.0,Jill Bengtson
56,9a0f50b29ca551c2dfdc31dec91d38af,en,0.4,Kenneth Lockett
57,8c707a78ae30d703e0e94ce3e8efd84b,en,0.0,Laura Thompson
58,8703370634ae14767f06ea12267e25ab,en,0.2,Elizabeth Garton
59,9e3ff0a4de7cc2c77e696341dfa66ca5,en,0.4,Kenneth Seager
60,7eca71debd2030ba16d5849a51110df7,en,0.0,Edward Cash
61,a5cf666c375e8b583360da960136796f,en,1.0,Myrtle Potter
62,7610534fcf5bf40d6e4b4073f2b980b4,en,1.0,Rafael Brewer
63,876d4f0b18ba27bd45769d7de16fdb3b,en,0.8,Hazel Bruner
64,872107cb1c922f0420f7c60d0f3f5c82,en,0.2,David Boyce
65,8b46f62667ec355d99f12f91eb5c1fb1,en,1.0,Arnold Stickles
66,9e7d8b7b36c2dbca979ba2eca0d8d110,en,0.4,Robert Latham
67,8e785d3cef887ca5f5a308edbb466519,en,0.2,Joshua Petersen
68,aa30a09477579406f0ae07045d5fc729,en,0.8,Donna Pena
69,dbad8b2ea2a44d8a503e6c8afe937cdf,en,0.2,Emma Walter
70,b8b56ee954ec519d2beb62e5583f6501,en,0.0,Marvin Rhodes
71,e291bd05ee5636bea526fdba1a6aee0c,en,0.2,Joseph Gordon
72,b4cb7d747d13f6de69c2c445bf69b6bc,en,0.6,Jon Boston
73,c66cf85170be8954bb5b6dc123668fd7,en,0.8,Romeo Espino
74,e00d9db0a878e24f49b22c5fff537a58,en,1.0,Karolyn Reese
75,d0235c3e74f79298fc2b6d2427c2060b,en,0.0,Anna Thomas
76,b8883e4867f7adb0321b11f3241cd708,en,0.8,William Camacho
77,ba89cd8519b88f7859e7fe117246fb8f,en,0.2,Steve Mitchell
78,d8610f1a62b23eb93335604b73ada01c,en,0.6,William Fleming
79,dbcb2f9a069bd686b58161ddaa5529ce,en,1.0,Rudolph Ramirez
80,ab8e5fd81fbce9ccf42465e2c5e619f0,en,0.2,Jennifer Braddy
81,b897c69b28b6e80bd4d3fdaf4512e945,en,0.0,Janet Sauders
82,ab14ad85f29db248a46654fe4bfc2cef,en,1.0,Krystal Beale
83,e433f39a6291cddc05b07d6a8efaa12b,en,0.2,Rick Schepker
84,be71e41921653e523aceb555727b61c7,en,0.2,Stephen Merlo
85,c424d3823ea10bb059849217c50b1a96,en,0.2,Octavia Quigley
86,e69115769bae2a02953934dc9c30ae05,en,0.4,Melvin Chancellor
87,f6dbb398364073aa25cd1aab159a6e71,en,1.0,William Lopez
88,e47d39b70d677ee02624a42f428811a8,en,0.2,Thelma Duran
89,e8141313febb028ea3c9912f89fcd6b4,en,0.0,Mavis Obryan
90,fc81416f247846c8727d4a149b7151b4,en,1.0,Cathy Barr
91,e4fac0f5f2708d2c326c8e85d4b17d0b,en,0.0,Sharen Phair
92,ff40a5a10d32a42946701e7965bf73e3,en,0.2,Therese Purcell
93,fec7f040a4100395d78d1a94a148e956,en,0.8,Sandra Riddle
94,f8e9b6073d2fcbf9d2de3df07c62d86e,en,0.2,Li Arnett
95,ef065a8c4f5866c8a0a24ee7b74cc44a,en,0.2,Jenny White
96,ed47e83208995121ef69c686aa16ba1c,en,0.4,John Ehrlich
97,f2973063f16c0698a6de86c55b5f9ad6,en,0.6,Jeffrey Kee
98,f8ce309d9002bb0c31d04ebbbf21df5e,en,0.6,Donald Bryan
99,fdd27881da241cff7115c1e89caba6dd,en,1.0,Twila Reed
